epoch,train_loss,val_dice_neg,val_dice_pos,lr,time_sec,val_dice_pos_target
1,2.170309,0.859029,0.000220,0.000003,992.08,0.000090
2,2.075850,-1.000000,-1.000000,0.000005,904.24,0.000357
3,2.049568,-1.000000,-1.000000,0.000007,903.98,0.000799
4,2.030452,-1.000000,-1.000000,0.000009,903.60,0.001412
5,2.009911,0.770081,0.000213,0.000011,987.02,0.002195
6,1.985304,-1.000000,-1.000000,0.000013,904.06,0.003144
7,1.956133,-1.000000,-1.000000,0.000015,904.22,0.004257
8,1.919172,-1.000000,-1.000000,0.000017,904.23,0.005530
9,1.873804,-1.000000,-1.000000,0.000019,904.26,0.006962
10,1.815715,0.933325,0.000217,0.000021,986.91,0.008548
11,1.736772,-1.000000,-1.000000,0.000023,904.08,0.010287
12,1.628502,-1.000000,-1.000000,0.000025,904.28,0.012175
13,1.541270,-1.000000,-1.000000,0.000027,904.57,0.014210
14,1.517570,-1.000000,-1.000000,0.000029,904.17,0.016389
15,1.509311,0.999990,0.000000,0.000031,987.28,0.018709
16,1.507987,-1.000000,-1.000000,0.000033,904.20,0.021167
17,1.506272,-1.000000,-1.000000,0.000035,904.51,0.023761
18,1.502663,-1.000000,-1.000000,0.000037,904.35,0.026488
19,1.502238,-1.000000,-1.000000,0.000039,904.35,0.029345
20,1.497987,0.999936,0.023134,0.000041,987.03,0.032329
21,1.493115,-1.000000,-1.000000,0.000043,903.82,0.035437
22,1.487114,-1.000000,-1.000000,0.000045,904.08,0.038667
23,1.487069,-1.000000,-1.000000,0.000047,904.35,0.042016
24,1.482918,-1.000000,-1.000000,0.000049,904.36,0.045480
25,1.474578,0.999790,0.041770,0.000051,986.83,0.049058
26,1.483014,-1.000000,-1.000000,0.000052,903.98,0.052746
27,1.473032,-1.000000,-1.000000,0.000054,904.12,0.056542
28,1.471203,-1.000000,-1.000000,0.000056,904.24,0.060443
29,1.463817,-1.000000,-1.000000,0.000058,904.15,0.064446
30,1.459175,0.999726,0.063330,0.000060,986.94,0.068547
31,1.451103,-1.000000,-1.000000,0.000062,904.11,0.072746
32,1.459489,-1.000000,-1.000000,0.000064,904.01,0.077038
33,1.447033,-1.000000,-1.000000,0.000066,904.30,0.081421
34,1.441624,-1.000000,-1.000000,0.000068,904.42,0.085891
35,1.448366,0.999813,0.093894,0.000070,987.22,0.090447
36,1.439588,-1.000000,-1.000000,0.000072,903.59,0.095086
37,1.434382,-1.000000,-1.000000,0.000074,904.14,0.099804
38,1.437166,-1.000000,-1.000000,0.000076,904.19,0.104599
39,1.434949,-1.000000,-1.000000,0.000078,904.10,0.109468
40,1.411216,0.999871,0.107949,0.000080,986.84,0.114409
41,1.428927,-1.000000,-1.000000,0.000082,903.71,0.119418
42,1.419591,-1.000000,-1.000000,0.000084,904.13,0.124492
43,1.407695,-1.000000,-1.000000,0.000086,904.24,0.129630
44,1.398070,-1.000000,-1.000000,0.000088,904.55,0.134827
45,1.418323,0.999903,0.123419,0.000090,987.00,0.140082
46,1.409447,-1.000000,-1.000000,0.000092,904.03,0.145391
47,1.393142,-1.000000,-1.000000,0.000094,904.19,0.150752
48,1.408963,-1.000000,-1.000000,0.000096,904.21,0.156162
49,1.394435,-1.000000,-1.000000,0.000098,904.23,0.161618
50,1.419532,0.999896,0.090811,0.000100,986.96,0.167118
51,1.375273,-1.000000,-1.000000,0.000100,904.21,0.172658
52,1.385194,-1.000000,-1.000000,0.000100,904.33,0.178235
53,1.392601,-1.000000,-1.000000,0.000100,904.14,0.183848
54,1.375946,-1.000000,-1.000000,0.000100,904.17,0.189493
55,1.358706,0.999944,0.129076,0.000100,986.72,0.195167
56,1.384230,-1.000000,-1.000000,0.000100,903.75,0.200867
57,1.379636,-1.000000,-1.000000,0.000100,904.39,0.206592
58,1.364716,-1.000000,-1.000000,0.000100,904.31,0.212337
59,1.350429,-1.000000,-1.000000,0.000100,904.30,0.218101
60,1.383992,0.999961,0.126905,0.000100,987.16,0.223880
61,1.351995,-1.000000,-1.000000,0.000100,904.20,0.229671
62,1.358202,-1.000000,-1.000000,0.000100,904.34,0.235472
63,1.385644,-1.000000,-1.000000,0.000100,904.26,0.241281
64,1.354952,-1.000000,-1.000000,0.000100,904.35,0.247093
65,1.367780,0.999870,0.096636,0.000100,987.13,0.252907
66,1.359451,-1.000000,-1.000000,0.000100,904.06,0.258719
67,1.346103,-1.000000,-1.000000,0.000100,904.38,0.264528
68,1.364316,-1.000000,-1.000000,0.000100,904.33,0.270329
69,1.360515,-1.000000,-1.000000,0.000100,904.20,0.276120
70,1.360340,0.999974,0.127376,0.000100,987.14,0.281899
71,1.363917,-1.000000,-1.000000,0.000099,903.69,0.287663
72,1.338583,-1.000000,-1.000000,0.000099,904.34,0.293408
73,1.352369,-1.000000,-1.000000,0.000099,904.41,0.299133
74,1.339728,-1.000000,-1.000000,0.000099,904.25,0.304833
75,1.349085,0.999899,0.118918,0.000099,987.09,0.310507
76,1.338364,-1.000000,-1.000000,0.000099,904.02,0.316152
77,1.350990,-1.000000,-1.000000,0.000099,904.26,0.321765
78,1.355487,-1.000000,-1.000000,0.000099,904.30,0.327342
79,1.352268,-1.000000,-1.000000,0.000099,904.44,0.332882
80,1.348049,0.999912,0.116667,0.000099,987.41,0.338382
81,1.315692,-1.000000,-1.000000,0.000099,904.32,0.343838
82,1.337626,-1.000000,-1.000000,0.000099,903.96,0.349248
83,1.346960,-1.000000,-1.000000,0.000099,904.21,0.354609
84,1.298610,-1.000000,-1.000000,0.000099,904.00,0.359918
85,1.368621,0.999897,0.134645,0.000099,986.83,0.365173
86,1.344711,-1.000000,-1.000000,0.000098,903.93,0.370370
87,1.350899,-1.000000,-1.000000,0.000098,904.30,0.375508
88,1.350516,-1.000000,-1.000000,0.000098,904.16,0.380582
89,1.345028,-1.000000,-1.000000,0.000098,904.13,0.385591
90,1.312917,0.999951,0.158211,0.000098,987.04,0.390532
91,1.334707,-1.000000,-1.000000,0.000098,904.20,0.395401
92,1.324395,-1.000000,-1.000000,0.000098,904.33,0.400196
93,1.313724,-1.000000,-1.000000,0.000098,904.38,0.404914
94,1.318114,-1.000000,-1.000000,0.000098,904.35,0.409553
95,1.297986,0.999934,0.147808,0.000098,986.89,0.414109
96,1.319958,-1.000000,-1.000000,0.000097,904.02,0.418579
97,1.309949,-1.000000,-1.000000,0.000097,904.38,0.422962
98,1.309000,-1.000000,-1.000000,0.000097,904.41,0.427254
99,1.328975,-1.000000,-1.000000,0.000097,904.63,0.431453
100,1.308315,0.999947,0.157915,0.000097,986.87,0.435554
101,1.305655,-1.000000,-1.000000,0.000097,904.00,0.439557
102,1.287565,-1.000000,-1.000000,0.000097,904.17,0.443458
103,1.326868,-1.000000,-1.000000,0.000097,904.35,0.447254
104,1.309074,-1.000000,-1.000000,0.000097,904.36,0.450942
105,1.326892,0.999923,0.133356,0.000096,987.20,0.454520
