epoch,train_loss,val_loss,val_dice,val_iou
1,0.593914,0.546021,0.806006,0.806006
2,0.531576,0.520780,0.852273,0.852273
3,0.515518,0.512908,0.852273,0.852273
4,0.508786,0.505377,0.852273,0.852273
5,0.504955,0.504535,0.777337,0.777078
6,0.499422,0.500611,0.421715,0.416504
7,0.486975,0.497507,0.538590,0.534527
8,0.461004,0.489285,0.453534,0.448863
9,0.424506,0.495056,0.619449,0.617955
10,0.394958,0.494389,0.657720,0.655769
11,0.369756,0.493441,0.693447,0.691476
12,0.361891,0.494552,0.710951,0.709413
13,0.353526,0.494837,0.733229,0.731921
14,0.330080,0.492920,0.635246,0.633683
15,0.317326,0.494245,0.708352,0.706864
16,0.318162,0.494884,0.741253,0.739878
17,0.308790,0.494867,0.685957,0.684593
18,0.317643,0.495234,0.696818,0.695744
19,0.307295,0.494704,0.692215,0.691028
20,0.307954,0.494914,0.692784,0.691667
21,0.298394,0.495288,0.716062,0.715010
22,0.300940,0.495283,0.712856,0.711798
23,0.307163,0.495347,0.703908,0.702847
24,0.300092,0.495831,0.716576,0.715601
25,0.319189,0.495796,0.716593,0.715618
26,0.297882,0.495801,0.707570,0.706616
27,0.302031,0.494769,0.701099,0.699904
28,0.303690,0.495657,0.709290,0.708309
29,0.306526,0.495317,0.692452,0.691398
30,0.317563,0.495627,0.714224,0.713226
31,0.310795,0.495326,0.707960,0.706905
32,0.296779,0.495316,0.696557,0.695512
33,0.302735,0.495637,0.714959,0.713982
34,0.301990,0.495479,0.718388,0.717374
35,0.304800,0.495493,0.713483,0.712466
36,0.302242,0.495801,0.705060,0.704115
37,0.290410,0.495249,0.695046,0.693954
38,0.302656,0.495485,0.701314,0.700289
39,0.305122,0.495605,0.701937,0.700958
40,0.292665,0.495308,0.703960,0.702879
41,0.293128,0.495088,0.692752,0.691622
42,0.280992,0.495290,0.717010,0.715921
43,0.309334,0.495756,0.713287,0.712330
44,0.304746,0.495187,0.695937,0.694832
45,0.292086,0.495682,0.709274,0.708292
46,0.298115,0.495649,0.697143,0.696141
47,0.296029,0.495136,0.714736,0.713600
48,0.305633,0.495613,0.712646,0.711651
49,0.293532,0.495465,0.698916,0.697886
50,0.294334,0.495331,0.697386,0.696337
