epoch,train_loss,val_loss,val_pos_dice,val_pos_iou,val_neg_dice
1,0.624986,0.587213,0.000000,0.000000,0.730090
2,0.570012,0.556141,0.000000,0.000000,0.770077
3,0.545642,0.536368,0.000000,0.000000,0.985671
4,0.529905,0.523516,0.000000,0.000000,1.000000
5,0.519353,0.514807,0.004908,0.002660,0.837388
6,0.509343,0.508532,0.059324,0.040458,0.406198
7,0.493874,0.503200,0.078730,0.052740,0.531823
8,0.478081,0.500732,0.051632,0.034870,0.542486
9,0.453895,0.499320,0.034139,0.023246,0.687104
10,0.420201,0.497804,0.030032,0.020449,0.778407
11,0.371123,0.498844,0.014589,0.009258,0.892036
12,0.319144,0.497532,0.022897,0.014265,0.849384
